id,coin_name,symbol,current_price,market_cap,fetched_at
87,Solana,sol,84.32,48753179192,2026-05-26 13:50:37.823863
88,TRON,trx,0.37,35379847586,2026-05-26 13:50:37.823863
89,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 13:50:37.823863
90,Dogecoin,doge,0.1,15614073174,2026-05-26 13:50:37.823863
91,Bitcoin,btc,76698.0,1536583175643,2026-05-26 13:55:39.524678
92,Ethereum,eth,2096.78,253097335491,2026-05-26 13:55:39.524678
93,Tether,usdt,1.0,189401080284,2026-05-26 13:55:39.524678
94,BNB,bnb,656.56,88470957028,2026-05-26 13:55:39.524678
95,XRP,xrp,1.34,82911124361,2026-05-26 13:55:39.524678
96,USDC,usdc,1.0,76275058198,2026-05-26 13:55:39.524678
97,Solana,sol,84.38,48799596771,2026-05-26 13:55:39.524678
98,TRON,trx,0.37,35383601003,2026-05-26 13:55:39.524678
99,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 13:55:39.524678
100,Dogecoin,doge,0.1,15628239862,2026-05-26 13:55:39.524678
101,Bitcoin,btc,76709.0,1536796095584,2026-05-26 14:00:38.047850
102,Ethereum,eth,2096.19,253076874385,2026-05-26 14:00:38.047850
103,Tether,usdt,1.0,189400245941,2026-05-26 14:00:38.047850
104,BNB,bnb,656.05,88502678145,2026-05-26 14:00:38.047850
105,XRP,xrp,1.34,82912249554,2026-05-26 14:00:38.047850
106,USDC,usdc,1.0,76275063175,2026-05-26 14:00:38.047850
107,Solana,sol,84.36,48791078282,2026-05-26 14:00:38.047850
108,TRON,trx,0.37,35395968450,2026-05-26 14:00:38.047850
109,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 14:00:38.047850
110,Dogecoin,doge,0.1,15624047561,2026-05-26 14:00:38.047850
111,Bitcoin,btc,76707.0,1536856472827,2026-05-26 14:04:52.201771
112,Ethereum,eth,2095.44,252923013469,2026-05-26 14:04:52.201771
113,Tether,usdt,1.0,189412430287,2026-05-26 14:04:52.201771
114,BNB,bnb,656.35,88466582323,2026-05-26 14:04:52.201771
115,XRP,xrp,1.34,82908566127,2026-05-26 14:04:52.201771
116,USDC,usdc,1.0,76274203087,2026-05-26 14:04:52.201771
117,Solana,sol,84.35,48779872195,2026-05-26 14:04:52.201771
118,TRON,trx,0.37,35419640893,2026-05-26 14:04:52.201771
119,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 14:04:52.201771
120,Dogecoin,doge,0.1,15603941225,2026-05-26 14:04:52.201771
121,Bitcoin,btc,76707.0,1536856472827,2026-05-26 14:05:37.120051
122,Ethereum,eth,2095.44,252923013469,2026-05-26 14:05:37.120051
123,Tether,usdt,1.0,189412430287,2026-05-26 14:05:37.120051
124,BNB,bnb,656.35,88466582323,2026-05-26 14:05:37.120051
125,XRP,xrp,1.34,82908566127,2026-05-26 14:05:37.120051
126,USDC,usdc,1.0,76274203087,2026-05-26 14:05:37.120051
127,Solana,sol,84.35,48779872195,2026-05-26 14:05:37.120051
128,TRON,trx,0.37,35419640893,2026-05-26 14:05:37.120051
129,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 14:05:37.120051
130,Dogecoin,doge,0.1,15603941225,2026-05-26 14:05:37.120051
131,Bitcoin,btc,76726.0,1536503704684,2026-05-26 14:10:42.104725
132,Ethereum,eth,2096.19,252835585202,2026-05-26 14:10:42.104725
133,Tether,usdt,1.0,189401055460,2026-05-26 14:10:42.104725
134,BNB,bnb,656.87,88494316506,2026-05-26 14:10:42.104725
135,XRP,xrp,1.34,82878723941,2026-05-26 14:10:42.104725
136,USDC,usdc,1.0,76268037622,2026-05-26 14:10:42.104725
137,Solana,sol,84.4,48756673422,2026-05-26 14:10:42.104725
138,TRON,trx,0.37,35449791417,2026-05-26 14:10:42.104725
139,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 14:10:42.104725
140,Dogecoin,doge,0.1,15592926986,2026-05-26 14:10:42.104725
141,Bitcoin,btc,76738.0,1537404823336,2026-05-26 14:15:37.427290
142,Ethereum,eth,2096.64,253026748044,2026-05-26 14:15:37.427290
143,Tether,usdt,1.0,189407914285,2026-05-26 14:15:37.427290
144,BNB,bnb,656.8,88530275375,2026-05-26 14:15:37.427290
145,XRP,xrp,1.34,82960507492,2026-05-26 14:15:37.427290
146,USDC,usdc,1.0,76270115378,2026-05-26 14:15:37.427290
147,Solana,sol,84.43,48820330898,2026-05-26 14:15:37.427290
148,TRON,trx,0.37,35457983265,2026-05-26 14:15:37.427290
149,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 14:15:37.427290
150,Dogecoin,doge,0.1,15607056343,2026-05-26 14:15:37.427290
151,Bitcoin,btc,76717.0,1537407106589,2026-05-26 14:20:38.432885
152,Ethereum,eth,2096.36,253057443645,2026-05-26 14:20:38.432885
153,Tether,usdt,1.0,189407986254,2026-05-26 14:20:38.432885
154,BNB,bnb,656.6,88523630629,2026-05-26 14:20:38.432885
155,XRP,xrp,1.34,82958666165,2026-05-26 14:20:38.432885
156,USDC,usdc,1.0,76270007354,2026-05-26 14:20:38.432885
157,Solana,sol,84.41,48819749924,2026-05-26 14:20:38.432885
158,TRON,trx,0.37,35463158588,2026-05-26 14:20:38.432885
159,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 14:20:38.432885
160,Dogecoin,doge,0.1,15609796694,2026-05-26 14:20:38.432885
161,Bitcoin,btc,76688.0,1536417862570,2026-05-26 14:25:37.678043
162,Ethereum,eth,2095.67,252917204551,2026-05-26 14:25:37.678043
163,Tether,usdt,1.0,189406299730,2026-05-26 14:25:37.678043
164,BNB,bnb,656.45,88479378054,2026-05-26 14:25:37.678043
165,XRP,xrp,1.34,82857221030,2026-05-26 14:25:37.678043
166,USDC,usdc,1.0,76272129488,2026-05-26 14:25:37.678043
167,Solana,sol,84.4,48785897405,2026-05-26 14:25:37.678043
168,TRON,trx,0.37,35471291874,2026-05-26 14:25:37.678043
169,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 14:25:37.678043
170,Dogecoin,doge,0.1,15603888926,2026-05-26 14:25:37.678043
171,Bitcoin,btc,76670.0,1536336068062,2026-05-26 14:30:38.090579
172,Ethereum,eth,2095.55,252946509994,2026-05-26 14:30:38.090579
173,Tether,usdt,1.0,189411916108,2026-05-26 14:30:38.090579
174,BNB,bnb,656.38,88473298605,2026-05-26 14:30:38.090579
175,XRP,xrp,1.34,82881410055,2026-05-26 14:30:38.090579
176,USDC,usdc,1.0,76266013063,2026-05-26 14:30:38.090579
177,Solana,sol,84.39,48799735753,2026-05-26 14:30:38.090579
178,TRON,trx,0.37,35485857281,2026-05-26 14:30:38.090579
179,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 14:30:38.090579
180,Dogecoin,doge,0.1,15615316972,2026-05-26 14:30:38.090579
181,Bitcoin,btc,76630.0,1535238021877,2026-05-26 14:35:37.722980
182,Ethereum,eth,2094.45,252755275135,2026-05-26 14:35:37.722980
183,Tether,usdt,1.0,189409264954,2026-05-26 14:35:37.722980
184,BNB,bnb,656.14,88441859442,2026-05-26 14:35:37.722980
185,XRP,xrp,1.34,82812746097,2026-05-26 14:35:37.722980
186,USDC,usdc,1.0,76267047657,2026-05-26 14:35:37.722980
187,Solana,sol,84.33,48754764711,2026-05-26 14:35:37.722980
188,TRON,trx,0.37,35493851799,2026-05-26 14:35:37.722980
189,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 14:35:37.722980
190,Dogecoin,doge,0.1,15620105015,2026-05-26 14:35:37.722980
191,Bitcoin,btc,76596.0,1534993087913,2026-05-26 14:40:37.158719
192,Ethereum,eth,2093.42,252687924871,2026-05-26 14:40:37.158719
193,Tether,usdt,1.0,189409979997,2026-05-26 14:40:37.158719
194,BNB,bnb,656.35,88420074605,2026-05-26 14:40:37.158719
195,XRP,xrp,1.34,82800253041,2026-05-26 14:40:37.158719
196,USDC,usdc,1.0,76263917780,2026-05-26 14:40:37.158719
197,Solana,sol,84.29,48754506096,2026-05-26 14:40:37.158719
198,TRON,trx,0.37,35507701346,2026-05-26 14:40:37.158719
199,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 14:40:37.158719
200,Dogecoin,doge,0.1,15616383191,2026-05-26 14:40:37.158719
